example_id                                                             | status | run_time        |
./spec/controllers/user_sessions_controller_spec.rb[1:1:1:3:1]         | passed | 0.00842 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:1:1]         | passed | 0.00522 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:1:2:2:1]         | passed | 0.00452 seconds |
./spec/controllers/user_sessions_controller_spec.rb[1:2:1]             | passed | 0.0017 seconds  |
./spec/controllers/users_controller_spec.rb[1:1:1]                     | passed | 0.00825 seconds |
./spec/controllers/users_controller_spec.rb[1:2:1]                     | passed | 0.00781 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:1]                 | passed | 0.00783 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:2]                 | passed | 0.00743 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:1:3]                 | passed | 0.00789 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:2:1]                 | passed | 0.00812 seconds |
./spec/controllers/users_controller_spec.rb[1:3:1:3:1:1]               | passed | 0.0078 seconds  |
./spec/controllers/users_controller_spec.rb[1:3:1:3:2:1]               | passed | 0.00779 seconds |
./spec/controllers/users_controller_spec.rb[1:3:2]                     | passed | 0.00992 seconds |
./spec/helpers/order_helper_spec.rb[1:1]                               | passed | 0.00158 seconds |
./spec/helpers/spree/base_helper_spec.rb[1:1]                          | passed | 0.0139 seconds  |
./spec/helpers/taxon_filters_helper_spec.rb[1:1]                       | passed | 0.00227 seconds |
./spec/helpers/taxons_helper_spec.rb[1:1:1]                            | passed | 0.01036 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:1]                          | passed | 0.00985 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:1:2]                          | passed | 0.01144 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:1:2:1]                          | passed | 0.00963 seconds |
./spec/mailers/user_mailer_spec.rb[1:1:2:1]                            | passed | 0.0088 seconds  |
./spec/requests/cart_line_items_ability_spec.rb[1:1:1:1]               | passed | 0.05329 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:1]                         | passed | 0.0551 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:1]                       | passed | 0.0477 seconds  |
./spec/requests/cart_line_items_spec.rb[1:1:2:2:1]                     | passed | 0.03628 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:3:1]                     | passed | 0.04224 seconds |
./spec/requests/cart_line_items_spec.rb[1:1:2:4:1]                     | passed | 0.04204 seconds |
./spec/requests/carts_ability_spec.rb[1:1:1:1]                         | passed | 0.01827 seconds |
./spec/requests/carts_ability_spec.rb[1:1:2:1]                         | passed | 0.01933 seconds |
./spec/requests/carts_ability_spec.rb[1:1:3:1]                         | passed | 0.01719 seconds |
./spec/requests/carts_spec.rb[1:1:1:1]                                 | passed | 0.01841 seconds |
./spec/requests/carts_spec.rb[1:1:2:1]                                 | passed | 0.01521 seconds |
./spec/requests/carts_spec.rb[1:2:1:1]                                 | passed | 0.10064 seconds |
./spec/requests/carts_spec.rb[1:2:1:2]                                 | passed | 0.08542 seconds |
./spec/requests/carts_spec.rb[1:2:1:3]                                 | passed | 0.09345 seconds |
./spec/requests/carts_spec.rb[1:3:1]                                   | passed | 0.07839 seconds |
./spec/requests/carts_spec.rb[1:4:1]                                   | passed | 0.10336 seconds |
./spec/requests/checkout_with_views_spec.rb[1:1:1:1]                   | passed | 0.11108 seconds |
./spec/requests/checkouts_spec.rb[1:1:1]                               | passed | 0.08826 seconds |
./spec/requests/checkouts_spec.rb[1:1:2]                               | passed | 0.07341 seconds |
./spec/requests/checkouts_spec.rb[1:1:3]                               | passed | 0.07505 seconds |
./spec/requests/checkouts_spec.rb[1:1:4]                               | passed | 0.06721 seconds |
./spec/requests/checkouts_spec.rb[1:1:5]                               | passed | 0.0683 seconds  |
./spec/requests/checkouts_spec.rb[1:2:1]                               | passed | 0.11392 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:1]                           | passed | 0.10768 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:2]                           | passed | 0.1179 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:1:3]                           | passed | 0.11191 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:1:4:1]                         | passed | 0.13272 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:1:1]                         | passed | 0.12761 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:1]                         | passed | 0.10936 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:2:2:2]                         | passed | 0.1099 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:3:1]                           | passed | 0.0995 seconds  |
./spec/requests/checkouts_spec.rb[1:2:2:4:1:1]                         | passed | 0.09478 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:2:1]                         | passed | 0.08317 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:4:3:1]                         | passed | 0.08903 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:1]                           | passed | 0.14883 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:2]                           | passed | 0.14278 seconds |
./spec/requests/checkouts_spec.rb[1:2:2:5:3]                           | passed | 0.14565 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:1]                             | passed | 0.13499 seconds |
./spec/requests/checkouts_spec.rb[1:2:3:2]                             | passed | 0.07998 seconds |
./spec/requests/checkouts_spec.rb[1:2:4:1]                             | passed | 0.07509 seconds |
./spec/requests/checkouts_spec.rb[1:2:5:1]                             | passed | 0.15513 seconds |
